subj,age,sex,phase,block,trial,cue,resp,out,numResp,RT,AOI_cue_p1,AOI_cue_p2,AOI_resp_p1,AOI_resp_p2,AOI_out_p1,AOI_out_p2,tOutFix,nFix_p1,nFix_p2,samples_p1,samples_p2,raw_NA_p1,raw_NA_p2,post_interp_NA_p1,post_interp_NA_p2,ICU,ICU_medSplit
P102_Exp3,18,F,1,1,1,1,1,5,1,1736.94522961159,401,130,955,213,0,313,247,12,5,521,253,30,0,30,0,18,Low
P102_Exp3,18,F,1,1,2,2,2,6,1,5614.93679689647,517,217,1797,194,190,313,227,27,4,1685,249,650,0,633,0,18,Low
P102_Exp3,18,F,1,1,3,4,4,8,2,5686.01749812524,811,190,2102,173,0,306,220,20,6,1706,248,414,0,398,0,18,Low
P102_Exp3,18,F,1,1,4,3,3,7,2,4540.414004779,193,203,2114,210,157,230,246,16,6,1362,246,259,0,252,0,18,Low
P102_Exp3,18,F,1,2,5,1,1,5,1,2795.30592137417,699,0,1006,369,0,330,150,22,6,839,250,135,0,98,0,18,Low
P102_Exp3,18,F,1,2,6,2,2,6,1,1260.23933745728,237,0,675,327,0,380,203,11,4,378,250,37,0,35,0,18,Low
P102_Exp3,18,F,1,2,7,4,4,8,2,5122.88623682844,1585,0,2166,553,0,190,230,29,3,1537,247,242,0,233,0,18,Low
P102_Exp3,18,F,1,2,8,3,3,7,1,756.889917085573,236,0,323,133,0,540,297,6,2,227,252,18,33,0,30,18,Low
P102_Exp3,18,F,1,3,9,2,2,6,2,2313.5291106164,136,0,1589,396,150,300,214,13,4,694,246,52,0,47,0,18,Low
P102_Exp3,18,F,1,3,10,1,1,5,3,3510.67008933796,51,50,2341,363,66,110,343,14,4,1053,247,175,29,136,0,18,Low
P102_Exp3,18,F,1,3,11,4,4,8,2,2147.54927234026,0,0,1413,527,0,0,NA,8,5,645,249,104,57,102,39,18,Low
P102_Exp3,18,F,1,3,12,3,3,7,1,1197.62365024008,0,0,741,461,0,0,NA,7,4,359,249,65,76,52,76,18,Low
P102_Exp3,18,F,1,4,13,2,2,6,1,1478.3081563337,193,0,957,780,0,0,NA,3,2,444,249,64,7,63,0,18,Low
P102_Exp3,18,F,1,4,14,1,1,5,1,268.044187234409,0,0,217,740,0,0,NA,2,3,81,249,0,0,0,0,18,Low
P102_Exp3,18,F,1,4,15,3,3,7,2,1346.62697430485,67,47,918,466,0,0,NA,9,5,404,247,41,0,41,0,18,Low
P102_Exp3,18,F,1,4,16,4,4,8,1,303.41625181245,0,366,136,214,0,0,NA,3,3,92,246,38,35,38,35,18,Low
P102_Exp3,18,F,1,5,17,2,2,6,2,1944.54107265983,203,0,1160,340,0,167,240,8,5,583,245,51,0,47,0,18,Low
P102_Exp3,18,F,1,5,18,3,3,7,1,1853.3532841584,247,417,874,250,0,0,NA,11,6,556,253,112,0,106,0,18,Low
P102_Exp3,18,F,1,5,19,1,1,5,2,2315.78640743874,149,446,1217,230,0,0,NA,14,4,695,250,91,32,86,32,18,Low
P102_Exp3,18,F,1,5,20,4,4,8,1,1208.03897112182,234,0,597,420,0,0,NA,6,2,362,256,44,112,44,97,18,Low
P102_Exp3,18,F,1,6,21,2,2,6,1,976.117570209226,130,0,606,513,0,0,NA,6,4,293,250,23,85,0,76,18,Low
P102_Exp3,18,F,1,6,22,1,1,5,1,2962.04795201174,427,0,1555,605,0,83,260,18,6,889,250,170,0,162,0,18,Low
P102_Exp3,18,F,1,6,23,4,4,8,1,836.294362613899,304,0,390,801,0,0,NA,3,2,251,253,23,0,0,0,18,Low
P102_Exp3,18,F,1,6,24,3,3,7,1,587.4758362379,0,229,463,483,0,0,NA,1,4,177,252,28,0,28,0,18,Low
P102_Exp3,18,F,2,7,25,8,4,12,4,4483.65889763727,197,236,3262,406,0,0,NA,23,3,1345,250,103,5,53,0,18,Low
P102_Exp3,18,F,2,7,26,6,2,10,2,2311.45655111095,144,273,1511,267,0,0,NA,10,5,693,245,94,51,89,47,18,Low
P102_Exp3,18,F,2,7,27,7,3,11,1,4659.64262384978,0,0,2401,286,0,80,237,18,7,1398,251,451,58,444,54,18,Low
P102_Exp3,18,F,2,7,28,5,1,9,1,1777.69218416233,0,0,993,453,0,0,NA,8,5,534,250,128,62,90,59,18,Low
P102_Exp3,18,F,2,8,29,8,4,12,1,973.602486346863,117,0,700,494,0,0,NA,4,3,292,251,0,61,0,61,18,Low
P102_Exp3,18,F,2,8,30,6,2,10,1,551.518166439564,167,214,290,410,0,0,NA,4,4,165,253,0,39,0,39,18,Low
P102_Exp3,18,F,2,8,31,7,3,11,1,683.038759821102,296,0,290,597,0,0,NA,3,3,205,253,5,45,0,40,18,Low
P102_Exp3,18,F,2,8,32,5,1,9,1,303.105941417471,0,23,281,0,0,103,680,2,3,91,249,0,69,0,45,18,Low
P102_Exp3,18,F,2,9,33,8,4,12,1,1966.15050899391,394,0,1044,603,160,0,NA,8,3,590,253,31,53,31,48,18,Low
P102_Exp3,18,F,2,9,34,6,2,10,1,1455.9642986078,171,176,447,197,0,338,233,7,4,437,251,199,0,194,0,18,Low
P102_Exp3,18,F,2,9,35,7,3,11,1,814.383973494387,0,213,493,533,0,0,NA,3,3,244,254,56,0,51,0,18,Low
P102_Exp3,18,F,2,9,36,5,1,9,1,422.192083341542,64,253,300,287,0,0,NA,2,3,127,248,0,47,0,42,18,Low
