subj,age,sex,phase,block,trial,cue,resp,out,numResp,RT,AOI_cue_p1,AOI_cue_p2,AOI_resp_p1,AOI_resp_p2,AOI_out_p1,AOI_out_p2,tOutFix,nFix_p1,nFix_p2,samples_p1,samples_p2,raw_NA_p1,raw_NA_p2,post_interp_NA_p1,post_interp_NA_p2,ICU,ICU_medSplit
P101_Exp5,34,F,1,1,1,4,4,8,25,85465.6727447427,10318,0,50567,210,220,330,260,224,2,25644,792,4563,6,3914,0,14,Low
P101_Exp5,34,F,1,1,2,1,1,5,1,3341.96611540619,473,0,1767,127,0,530,247,10,4,1003,791,138,0,87,0,14,Low
P101_Exp5,34,F,1,1,3,3,3,7,2,4996.46596372804,961,0,2955,160,0,547,190,18,4,1499,800,61,0,56,0,14,Low
P101_Exp5,34,F,1,1,4,2,2,6,1,4047.33808093715,990,0,2266,136,0,494,187,13,3,1214,795,0,97,0,87,14,Low
P101_Exp5,34,F,1,2,5,3,3,7,3,5508.59914693319,543,0,4124,160,0,480,200,20,3,1653,791,0,58,0,58,14,Low
P101_Exp5,34,F,1,2,6,2,2,6,3,6379.45343822958,1532,247,3873,150,136,343,220,18,4,1914,795,14,99,0,96,14,Low
P101_Exp5,34,F,1,2,7,4,4,8,3,5781.84973924635,560,213,4458,133,0,291,170,13,5,1735,794,78,50,75,47,14,Low
P101_Exp5,34,F,1,2,8,1,1,5,5,6752.34397099757,496,0,4819,147,206,631,219,21,5,2026,793,5,48,0,0,14,Low
P101_Exp5,34,F,1,3,9,3,3,7,1,6496.71790727734,1098,237,3420,150,0,287,193,29,4,1949,795,333,24,150,0,14,Low
P101_Exp5,34,F,1,3,10,2,2,6,1,4822.40262413779,1253,187,2653,57,0,306,200,16,5,1447,792,55,29,48,29,14,Low
P101_Exp5,34,F,1,3,11,1,1,5,1,3810.28032079848,947,0,1976,193,0,253,190,16,6,1144,790,0,45,0,32,14,Low
P101_Exp5,34,F,1,3,12,4,4,8,1,3051.98143681719,737,170,1571,0,0,296,166,14,5,916,793,2,121,0,82,14,Low
P101_Exp5,34,F,1,4,13,1,1,5,2,8421.34347991032,1630,240,4480,103,0,217,223,26,4,2527,792,323,185,245,180,14,Low
P101_Exp5,34,F,1,4,14,2,2,6,3,5662.05644815545,427,333,4738,140,0,160,219,11,5,1699,795,25,7,0,0,14,Low
P101_Exp5,34,F,1,4,15,3,3,7,1,1751.74920502286,130,296,1314,130,0,273,167,3,5,526,793,0,117,0,68,14,Low
P101_Exp5,34,F,1,4,16,4,4,8,1,1147.73065207919,410,0,617,136,0,406,177,4,3,344,794,2,55,0,31,14,Low
P101_Exp5,34,F,1,5,17,1,1,5,1,4061.83646154386,520,0,2777,420,0,296,180,13,5,1219,795,83,73,41,70,14,Low
P101_Exp5,34,F,1,5,18,4,4,8,1,3989.19906697665,473,271,2818,30,0,229,187,12,6,1197,792,100,201,86,195,14,Low
P101_Exp5,34,F,1,5,19,3,3,7,1,3449.52190458207,537,0,2323,0,0,246,173,10,4,1035,794,19,116,0,106,14,Low
P101_Exp5,34,F,1,5,20,2,2,6,2,3690.31892512066,1237,197,2112,130,0,223,170,11,4,1107,791,0,370,0,359,14,Low
P101_Exp5,34,F,1,6,21,1,1,5,1,2683.04434846414,734,0,1281,280,0,282,183,13,7,805,793,72,213,41,109,14,Low
P101_Exp5,34,F,1,6,22,4,4,8,1,1946.36098369301,384,0,1223,424,0,130,750,5,6,584,795,0,173,0,167,14,Low
P101_Exp5,34,F,1,6,23,2,2,6,2,3208.53757969508,1009,226,1693,66,0,237,197,9,4,963,790,16,144,0,104,14,Low
P101_Exp5,34,F,1,6,24,3,3,7,1,1116.23493511979,193,0,623,160,0,283,200,6,4,334,795,0,105,0,80,14,Low
P101_Exp5,34,F,2,7,25,7,3,11,1,6365.07281616559,2411,0,2464,342,0,513,193,19,3,1910,794,214,40,156,40,14,Low
P101_Exp5,34,F,2,7,26,5,1,9,2,6369.11799278005,1424,0,3137,0,0,413,290,21,3,1911,793,207,117,169,81,14,Low
P101_Exp5,34,F,2,7,27,8,4,12,2,5164.15242222047,953,0,3346,143,0,684,183,16,4,1549,795,36,68,36,42,14,Low
P101_Exp5,34,F,2,7,28,6,2,10,1,1303.91218625937,197,0,747,150,0,503,210,3,5,391,792,0,71,0,46,14,Low
P101_Exp5,34,F,2,8,29,7,3,11,1,2404.16139917579,400,0,1549,70,0,696,193,8,4,721,797,14,42,0,29,14,Low
P101_Exp5,34,F,2,8,30,5,1,9,1,3765.76545826174,590,0,1616,53,0,377,197,13,10,1130,794,277,74,216,58,14,Low
P101_Exp5,34,F,2,8,31,8,4,12,1,2307.7717651704,777,0,956,0,0,414,27,7,3,692,792,99,201,95,148,14,Low
P101_Exp5,34,F,2,8,32,6,2,10,1,1059.82773973119,163,0,736,157,0,553,193,4,2,318,795,0,543,0,534,14,Low
P101_Exp5,34,F,2,9,33,5,1,9,1,3299.29613670902,1389,230,721,124,0,333,179,9,5,990,794,259,138,249,131,14,Low
P101_Exp5,34,F,2,9,34,7,3,11,1,1331.50736481548,333,0,867,146,0,597,190,5,4,400,793,0,46,0,0,14,Low
P101_Exp5,34,F,2,9,35,8,4,12,1,2217.08531393051,812,0,1133,134,0,450,173,7,3,666,793,0,211,0,193,14,Low
P101_Exp5,34,F,2,9,36,6,2,10,1,1211.32282523195,160,0,909,150,0,354,183,5,3,363,796,0,35,0,0,14,Low
P101_Exp5,34,F,2,10,37,5,1,9,1,1907.69522211758,357,284,1287,104,0,213,237,6,4,572,791,23,130,0,82,14,Low
P101_Exp5,34,F,2,10,38,6,2,10,1,1442.64412301618,0,0,866,116,0,668,154,2,4,433,791,151,11,151,0,14,Low
P101_Exp5,34,F,2,10,39,8,4,12,1,2261.36593936553,217,0,1827,124,0,547,163,6,3,678,795,0,74,0,49,14,Low
P101_Exp5,34,F,2,10,40,7,3,11,1,1158.57766453246,167,0,691,164,0,516,204,6,4,348,791,0,156,0,130,14,Low
