time,x,y,trial
0,0,0,1
3,0,0,1
7,0,0,1
10,0,0,1
13,0,0,1
17,0,0,1
20,0,0,1
23,0,0,1
27,0,0,1
30,0,0,1
33,0,0,1
37,0,0,1
40,0,0,1
43,0,0,1
47,0,0,1
50,0,0,1
53,0,0,1
57,0,0,1
60,0,0,1
63,0,0,1
67,0,0,1
70,0,0,1
73,0,0,1
77,0,0,1
80,0,0,1
83,0,0,1
87,0,0,1
90,0,0,1
93,0,0,1
97,0,0,1
100,0,0,1
103,0,0,1
107,0,0,1
110,0,0,1
113,0,0,1
117,0,0,1
120,0,0,1
123,0,0,1
127,0,0,1
130,0,0,1
133,0,0,1
137,0,0,1
140,0,0,1
143,0,0,1
147,0,0,1
150,0,0,1
153,0,0,1
157,0,0,1
160,0,0,1
163,0,0,1
167,0,0,1
170,0,0,1
173,0,0,1
177,0,0,1
180,0,0,1
183,0,0,1
187,0,0,1
190,0,0,1
193,0,0,1
197,0,0,1
200,0,0,1
203,0,0,1
207,0,0,1
210,0,0,1
213,0,0,1
217,0,0,1
220,0,0,1
223,0,0,1
227,0,0,1
230,0,0,1
233,0,0,1
237,0,0,1
240,0,0,1
243,0,0,1
247,0,0,1
250,0,0,1
253,0,0,1
257,0,0,1
260,0,0,1
263,0,0,1
267,0,0,1
270,0,0,1
273,0,0,1
277,0,0,1
280,0,0,1
283,0,0,1
287,0,0,1
290,0,0,1
293,0,0,1
297,0,0,1
300,0,0,1
303,0,0,1
307,0,0,1
310,0,0,1
313,0,0,1
317,0,0,1
320,0,0,1
323,0,0,1
327,0,0,1
330,0,0,1
333,0,0,1
337,0,0,1
340,0,0,1
343,0,0,1
347,0,0,1
350,0,0,1
353,0,0,1
357,0,0,1
360,0,0,1
363,0,0,1
367,0,0,1
370,0,0,1
373,0,0,1
377,0,0,1
380,0,0,1
383,0,0,1
387,0,0,1
390,0,0,1
393,0,0,1
397,0,0,1
400,0,0,1
403,0,0,1
407,0,0,1
410,0,0,1
413,0,0,1
417,0,0,1
420,0,0,1
423,0,0,1
427,0,0,1
430,0,0,1
433,0,0,1
437,0,0,1
440,0,0,1
443,0,0,1
447,0,0,1
450,0,0,1
453,0,0,1
457,0,0,1
460,0,0,1
463,0,0,1
467,0,0,1
470,0,0,1
473,0,0,1
477,0,0,1
480,0,0,1
483,0,0,1
487,0,0,1
490,0,0,1
493,0,0,1
497,0,0,1
500,0,0,1
503,0,0,1
507,0,0,1
510,0,0,1
513,0,0,1
517,0,0,1
520,0,0,1
523,0,0,1
527,0,0,1
530,0,0,1
533,0,0,1
537,0,0,1
540,0,0,1
543,0,0,1
547,0,0,1
550,0,0,1
553,0,0,1
557,0,0,1
560,0,0,1
563,0,0,1
567,0,0,1
570,0,0,1
573,0,0,1
577,0,0,1
580,0,0,1
583,0,0,1
587,0,0,1
590,0,0,1
593,0,0,1
597,0,0,1
600,0,0,1
603,0,0,1
607,0,0,1
610,0,0,1
613,0,0,1
617,0,0,1
620,0,0,1
623,0,0,1
627,0,0,1
630,0,0,1
633,0,0,1
637,0,0,1
640,0,0,1
643,0,0,1
647,0,0,1
650,0,0,1
653,0,0,1
657,0,0,1
660,0,0,1
663,0,0,1
667,0,0,1
670,0,0,1
673,0,0,1
677,0,0,1
680,0,0,1
683,0,0,1
687,0,0,1
690,0,0,1
693,0,0,1
697,0,0,1
700,0,0,1
703,0,0,1
707,0,0,1
710,0,0,1
713,0,0,1
717,0,0,1
720,0,0,1
723,0,0,1
727,0,0,1
730,0,0,1
733,0,0,1
737,0,0,1
740,0,0,1
743,0,0,1
747,0,0,1
750,0,0,1
753,0,0,1
757,0,0,1
760,0,0,1
763,0,0,1
767,0,0,1
770,0,0,1
773,0,0,1
777,0,0,1
780,0,0,1
783,0,0,1
787,0,0,1
790,0,0,1
793,0,0,1
797,0,0,1
800,0,0,1
803,0,0,1
807,0,0,1
810,0,0,1
813,0,0,1
817,0,0,1
820,0,0,1
823,0,0,1
827,0,0,1
830,0,0,1
833,0,0,1
837,0,0,1
840,0,0,1
843,0,0,1
847,0,0,1
850,0,0,1
853,0,0,1
857,0,0,1
860,0,0,1
863,0,0,1
867,0,0,1
870,0,0,1
873,0,0,1
877,0,0,1
880,0,0,1
883,0,0,1
887,0,0,1
890,0,0,1
893,0,0,1
897,0,0,1
900,0,0,1
903,0,0,1
907,0,0,1
910,0,0,1
913,0,0,1
917,0,0,1
920,0,0,1
923,0,0,1
927,0,0,1
930,0,0,1
933,0,0,1
937,0,0,1
940,0,0,1
943,0,0,1
947,0,0,1
950,0,0,1
953,0,0,1
957,0,0,1
960,0,0,1
963,0,0,1
967,0,0,1
970,0,0,1
973,0,0,1
977,0,0,1
980,0,0,1
983,0,0,1
987,0,0,1
990,0,0,1
993,0,0,1
997,0,0,1
1000,0,0,1
1003,0,0,1
1007,0,0,1
1010,0,0,1
1013,0,0,1
1017,0,0,1
1020,0,0,1
1023,0,0,1
1027,0,0,1
1030,0,0,1
1033,0,0,1
1037,0,0,1
1040,0,0,1
1043,0,0,1
