subj,condition,age,sex,phase,block,trial,cue,resp,out,numResp,RT,AOI_cue_p1,AOI_cue_p2,AOI_resp_p1,AOI_resp_p2,AOI_out_p1,AOI_out_p2,tOutFix,nFix_p1,nFix_p2,samples_p1,samples_p2,raw_NA_p1,raw_NA_p2,post_interp_NA_p1,post_interp_NA_p2,ICU,ICU_medSplit
P101_Exp6,C1,19,F,1,1,1,1,1,5,2,5142.12034972104,710,746,3646,447,0,607,213,14,15,1543,812,0,0,0,0,21,Low
P101_Exp6,C1,19,F,1,1,2,2,2,6,1,2423.6352681649,943,350,1193,361,0,1156,387,9,15,727,812,43,0,43,0,21,Low
P101_Exp6,C1,19,F,1,1,3,3,3,7,1,3072.37597545526,623,781,2201,427,0,920,216,9,12,921,812,20,0,0,0,21,Low
P101_Exp6,C1,19,F,1,1,4,4,4,8,1,1829.8925504979,593,450,1080,586,0,987,313,6,8,549,810,7,0,0,0,21,Low
P101_Exp6,C1,19,F,1,2,5,2,2,6,1,1671.65447360128,564,280,770,889,120,747,367,6,17,502,812,0,34,0,34,21,Low
P101_Exp6,C1,19,F,1,2,6,4,4,8,1,2102.40122288855,200,0,1217,958,0,646,214,4,10,630,813,160,0,160,0,21,Low
P101_Exp6,C1,19,F,1,2,7,1,1,5,2,3603.81210886703,1303,380,1330,454,0,1264,363,11,15,1081,813,42,39,39,35,21,Low
P101_Exp6,C1,19,F,1,2,8,3,3,7,1,1747.96849323172,420,416,1022,683,0,870,180,5,17,524,809,30,71,30,71,21,Low
P101_Exp6,C1,19,F,1,3,9,2,2,6,1,1471.90121262543,563,0,811,449,0,683,240,8,15,441,812,0,359,0,353,21,Low
P101_Exp6,C1,19,F,1,3,10,4,4,8,1,1637.66642960724,307,610,914,367,0,863,680,4,17,491,813,40,0,36,0,21,Low
P101_Exp6,C1,19,F,1,3,11,3,3,7,1,1245.72930791123,460,394,310,224,0,1505,57,5,8,374,810,6,108,0,108,21,Low
P101_Exp6,C1,19,F,1,3,12,1,1,5,1,1221.85019856244,184,956,783,180,0,944,196,3,9,366,812,52,0,52,0,21,Low
P101_Exp6,C1,19,F,1,4,13,2,2,6,1,1711.91785105827,480,543,857,477,0,553,263,7,26,514,810,39,0,39,0,21,Low
P101_Exp6,C1,19,F,1,4,14,3,3,7,1,980.288950897261,303,334,33,392,0,1000,284,7,12,294,809,24,68,0,68,21,Low
P101_Exp6,C1,19,F,1,4,15,1,1,5,1,2358.18935695715,193,456,1864,409,0,287,180,6,9,708,811,0,301,0,298,21,Low
P101_Exp6,C1,19,F,1,4,16,4,4,8,1,6281.72803044663,897,661,3098,326,0,453,314,24,13,1884,810,480,213,447,195,21,Low
P101_Exp6,C1,19,F,1,5,17,1,1,5,1,2180.05821036633,497,200,1320,1235,0,574,453,5,10,654,810,85,0,82,0,21,Low
P101_Exp6,C1,19,F,1,5,18,2,2,6,1,783.788515617573,137,417,593,540,0,340,210,5,13,236,813,0,75,0,75,21,Low
P101_Exp6,C1,19,F,1,5,19,3,3,7,1,1063.95201418007,466,270,167,327,0,1427,256,4,13,319,809,0,88,0,88,21,Low
P101_Exp6,C1,19,F,1,5,20,4,4,8,1,2176.47032188967,753,801,650,600,0,886,234,4,8,653,811,146,0,142,0,21,Low
P101_Exp6,C1,19,F,1,6,21,2,2,6,2,3611.20492198171,917,477,1796,257,0,1220,193,7,12,1083,811,30,64,29,60,21,Low
P101_Exp6,C1,19,F,1,6,22,4,4,8,1,2884.39669984291,0,1123,1905,1120,0,220,277,9,12,865,813,62,0,54,0,21,Low
P101_Exp6,C1,19,F,1,6,23,3,3,7,1,1600.29636453868,343,0,774,2094,0,60,2650,7,20,480,814,33,0,29,0,21,Low
P101_Exp6,C1,19,F,1,6,24,1,1,5,1,1433.71069653216,317,470,824,972,0,697,479,6,10,431,813,0,0,0,0,21,Low
P101_Exp6,C1,19,F,2,7,25,6,2,10,1,4299.62581637591,1426,416,2594,782,0,1266,207,11,12,1290,813,9,0,0,0,21,Low
P101_Exp6,C1,19,F,2,7,26,8,4,12,2,3656.0384350214,950,393,2294,443,0,1383,243,9,11,1097,807,29,0,0,0,21,Low
P101_Exp6,C1,19,F,2,7,27,5,1,9,1,1765.82884872437,314,307,1153,953,0,999,220,5,13,530,813,13,0,0,0,21,Low
P101_Exp6,C1,19,F,2,7,28,7,3,11,1,1201.48894655051,390,337,650,344,0,1337,184,7,14,361,811,0,95,0,94,21,Low
P101_Exp6,C1,19,F,2,8,29,8,4,12,3,6730.97084893448,1132,961,3692,704,0,414,183,25,14,2019,802,0,53,0,53,21,Low
P101_Exp6,C1,19,F,2,8,30,5,1,9,1,1495.51861077532,300,546,889,965,0,500,213,4,15,448,810,49,48,49,48,21,Low
