subj,condition,age,sex,phase,block,trial,cue,resp,out,numResp,RT,AOI_cue_p1,AOI_cue_p2,AOI_resp_p1,AOI_resp_p2,AOI_out_p1,AOI_out_p2,tOutFix,nFix_p1,nFix_p2,samples_p1,samples_p2,raw_NA_p1,raw_NA_p2,post_interp_NA_p1,post_interp_NA_p2,ICU,ICU_medSplit
P101_Exp6,C1,19,F,1,1,1,1,1,5,2,5142.12034972104,710,0,3646,173,0,607,213,14,5,1543,812,0,0,0,0,21,Low
P101_Exp6,C1,19,F,1,1,2,2,2,6,1,2423.6352681649,943,160,1193,0,0,416,387,9,4,727,812,43,0,43,0,21,Low
P101_Exp6,C1,19,F,1,1,3,3,3,7,1,3072.37597545526,623,184,2201,184,0,347,216,9,3,921,812,20,0,0,0,21,Low
P101_Exp6,C1,19,F,1,1,4,4,4,8,1,1829.8925504979,593,260,1080,0,0,0,NA,6,1,549,810,7,0,0,0,21,Low
P101_Exp6,C1,19,F,1,2,5,2,2,6,1,1671.65447360128,564,280,770,0,120,303,367,6,6,502,812,0,34,0,34,21,Low
P101_Exp6,C1,19,F,1,2,6,4,4,8,1,2102.40122288855,200,0,1217,180,0,646,214,4,2,630,813,160,0,160,0,21,Low
P101_Exp6,C1,19,F,1,2,7,1,1,5,2,3603.81210886703,1303,180,1330,0,0,0,NA,11,3,1081,813,42,39,39,35,21,Low
P101_Exp6,C1,19,F,1,2,8,3,3,7,1,1747.96849323172,420,0,1022,147,0,0,NA,5,2,524,809,30,71,30,71,21,Low
P101_Exp6,C1,19,F,1,3,9,2,2,6,1,1471.90121262543,563,0,811,57,0,370,240,8,4,441,812,0,359,0,353,21,Low
P101_Exp6,C1,19,F,1,3,10,4,4,8,1,1637.66642960724,307,400,914,0,0,0,NA,4,4,491,813,40,0,36,0,21,Low
P101_Exp6,C1,19,F,1,3,11,3,3,7,1,1245.72930791123,460,0,310,27,0,726,57,5,2,374,810,6,108,0,108,21,Low
P101_Exp6,C1,19,F,1,3,12,1,1,5,1,1221.85019856244,184,0,783,163,0,680,196,3,2,366,812,52,0,52,0,21,Low
P101_Exp6,C1,19,F,1,4,13,2,2,6,1,1711.91785105827,480,0,857,107,0,303,263,7,9,514,810,39,0,39,0,21,Low
P101_Exp6,C1,19,F,1,4,14,3,3,7,1,980.288950897261,303,80,33,0,0,370,284,7,4,294,809,24,68,0,68,21,Low
P101_Exp6,C1,19,F,1,4,15,1,1,5,1,2358.18935695715,193,0,1864,409,0,287,180,6,6,708,811,0,301,0,298,21,Low
P101_Exp6,C1,19,F,1,4,16,4,4,8,1,6281.72803044663,897,137,3098,247,0,196,314,24,4,1884,810,480,213,447,195,21,Low
P101_Exp6,C1,19,F,1,5,17,1,1,5,1,2180.05821036633,497,0,1320,424,0,0,NA,5,1,654,810,85,0,82,0,21,Low
P101_Exp6,C1,19,F,1,5,18,2,2,6,1,783.788515617573,137,0,593,377,0,340,210,5,5,236,813,0,75,0,75,21,Low
P101_Exp6,C1,19,F,1,5,19,3,3,7,1,1063.95201418007,466,13,167,64,0,550,256,4,6,319,809,0,88,0,88,21,Low
P101_Exp6,C1,19,F,1,5,20,4,4,8,1,2176.47032188967,753,0,650,196,0,566,234,4,2,653,811,146,0,142,0,21,Low
P101_Exp6,C1,19,F,1,6,21,2,2,6,2,3611.20492198171,917,0,1796,0,0,390,193,7,2,1083,811,30,64,29,60,21,Low
P101_Exp6,C1,19,F,1,6,22,4,4,8,1,2884.39669984291,0,0,1905,638,0,220,277,9,5,865,813,62,0,54,0,21,Low
P101_Exp6,C1,19,F,1,6,23,3,3,7,1,1600.29636453868,343,0,774,789,0,0,NA,7,10,480,814,33,0,29,0,21,Low
P101_Exp6,C1,19,F,1,6,24,1,1,5,1,1433.71069653216,317,0,824,433,0,357,479,6,2,431,813,0,0,0,0,21,Low
P101_Exp6,C1,19,F,2,7,25,6,2,10,1,4299.62581637591,1426,0,2594,170,0,0,NA,11,2,1290,813,9,0,0,0,21,Low
P101_Exp6,C1,19,F,2,7,26,8,4,12,2,3656.0384350214,950,33,2294,146,0,150,243,9,3,1097,807,29,0,0,0,21,Low
P101_Exp6,C1,19,F,2,7,27,5,1,9,1,1765.82884872437,314,0,1153,190,0,336,220,5,4,530,813,13,0,0,0,21,Low
P101_Exp6,C1,19,F,2,7,28,7,3,11,1,1201.48894655051,390,0,650,124,0,0,NA,7,2,361,811,0,95,0,94,21,Low
P101_Exp6,C1,19,F,2,8,29,8,4,12,3,6730.97084893448,1132,291,3692,157,0,414,183,25,4,2019,802,0,53,0,53,21,Low
P101_Exp6,C1,19,F,2,8,30,5,1,9,1,1495.51861077532,300,0,889,70,0,500,213,4,3,448,810,49,48,49,48,21,Low
P101_Exp6,C1,19,F,2,8,31,6,2,10,1,1077.65366703575,186,257,754,100,0,376,254,4,4,323,811,0,0,0,0,21,Low
P101_Exp6,C1,19,F,2,8,32,7,3,11,1,1195.4904172045,216,0,616,107,0,270,157,10,6,359,810,0,345,0,345,21,Low
P101_Exp6,C1,19,F,2,9,33,5,1,9,1,1214.3710539566,0,0,993,391,0,177,173,3,6,364,810,0,145,0,145,21,Low
