Experiment,subj,condition,age,sex,phase,epoch,block,trial,cue,resp,out,numResp,RT,ICU,ICU_Exp_medSplit,AOI_out_p2,AOI_out_p2_1s,tOutFix,tOutFix_1s
Exp3,P102_Exp3,NA,18,F,1,1,1,1,1,1,5,1,1736.94522961159,18,Low,313,NA,247,NA
Exp3,P102_Exp3,NA,18,F,1,1,1,2,2,2,6,1,5614.93679689647,18,Low,313,NA,227,NA
Exp3,P102_Exp3,NA,18,F,1,1,1,3,4,4,8,2,5686.01749812524,18,Low,306,NA,220,NA
Exp3,P102_Exp3,NA,18,F,1,1,1,4,3,3,7,2,4540.414004779,18,Low,230,NA,246,NA
Exp3,P102_Exp3,NA,18,F,1,1,2,5,1,1,5,1,2795.30592137417,18,Low,330,NA,150,NA
Exp3,P102_Exp3,NA,18,F,1,1,2,6,2,2,6,1,1260.23933745728,18,Low,380,NA,203,NA
Exp3,P102_Exp3,NA,18,F,1,1,2,7,4,4,8,2,5122.88623682844,18,Low,190,NA,230,NA
Exp3,P102_Exp3,NA,18,F,1,1,2,8,3,3,7,1,756.889917085573,18,Low,540,NA,297,NA
Exp3,P102_Exp3,NA,18,F,1,2,3,9,2,2,6,2,2313.5291106164,18,Low,300,NA,214,NA
Exp3,P102_Exp3,NA,18,F,1,2,3,10,1,1,5,3,3510.67008933796,18,Low,110,NA,343,NA
Exp3,P102_Exp3,NA,18,F,1,2,3,11,4,4,8,2,2147.54927234026,18,Low,0,NA,NA,NA
Exp3,P102_Exp3,NA,18,F,1,2,3,12,3,3,7,1,1197.62365024008,18,Low,0,NA,NA,NA
Exp3,P102_Exp3,NA,18,F,1,2,4,13,2,2,6,1,1478.3081563337,18,Low,0,NA,NA,NA
Exp3,P102_Exp3,NA,18,F,1,2,4,14,1,1,5,1,268.044187234409,18,Low,0,NA,NA,NA
Exp3,P102_Exp3,NA,18,F,1,2,4,15,3,3,7,2,1346.62697430485,18,Low,0,NA,NA,NA
