Experiment,subj,condition,age,sex,ICU
Exp3,P102_Exp3,NA,18,F,18
Exp3,P103_Exp3,NA,18,F,26
Exp3,P105_Exp3,NA,20,F,15
Exp3,P106_Exp3,NA,18,F,14
Exp3,P107_Exp3,NA,20,M,21
Exp3,P108_Exp3,NA,18,F,6
Exp3,P109_Exp3,NA,19,F,23
Exp3,P110_Exp3,NA,18,M,20
Exp3,P111_Exp3,NA,18,F,24
Exp3,P112_Exp3,NA,18,F,17
Exp3,P113_Exp3,NA,18,F,11
Exp3,P114_Exp3,NA,20,M,23
Exp3,P115_Exp3,NA,18,F,31
Exp3,P116_Exp3,NA,21,M,21
Exp3,P117_Exp3,NA,19,F,29
Exp3,P118_Exp3,NA,18,M,24
Exp3,P119_Exp3,NA,19,F,12
Exp3,P120_Exp3,NA,19,F,19
Exp3,P121_Exp3,NA,19,F,29
Exp3,P122_Exp3,NA,18,F,13
Exp3,P123_Exp3,NA,19,F,23
Exp3,P124_Exp3,NA,19,F,16
Exp3,P125_Exp3,NA,20,F,13
Exp3,P126_Exp3,NA,18,F,18
Exp3,P127_Exp3,NA,18,F,20
Exp3,P128_Exp3,NA,19,M,27
Exp3,P129_Exp3,NA,19,F,29
Exp3,P130_Exp3,NA,18,F,22
Exp3,P131_Exp3,NA,18,F,36
Exp3,P132_Exp3,NA,19,F,20
Exp3,P133_Exp3,NA,20,F,30
Exp3,P134_Exp3,NA,18,M,20
Exp3,P135_Exp3,NA,21,F,22
Exp3,P136_Exp3,NA,18,F,25
Exp3,P137_Exp3,NA,20,F,29
Exp3,P138_Exp3,NA,19,F,25
Exp3,P139_Exp3,NA,18,M,16
Exp3,P140_Exp3,NA,18,M,26
Exp3,P141_Exp3,NA,18,M,23
Exp3,P142_Exp3,NA,19,M,34
Exp3,P143_Exp3,NA,20,M,17
Exp3,P144_Exp3,NA,27,M,18
Exp3,P145_Exp3,NA,18,F,31
Exp3,P146_Exp3,NA,20,M,25
Exp3,P147_Exp3,NA,22,M,29
Exp3,P148_Exp3,NA,19,M,16
Exp5,P101_Exp5,NA,34,F,14
Exp5,P102_Exp5,NA,30,F,12
Exp5,P103_Exp5,NA,19,F,16
Exp5,P104_Exp5,NA,37,F,22
Exp5,P105_Exp5,NA,28,M,16
Exp5,P116_Exp5,NA,23,M,23
Exp5,P117_Exp5,NA,20,F,9
Exp5,P118_Exp5,NA,19,F,22
Exp5,P119_Exp5,NA,20,F,9
Exp5,P120_Exp5,NA,20,F,22
Exp5,P121_Exp5,NA,23,F,24
Exp5,P122_Exp5,NA,19,F,4
Exp5,P123_Exp5,NA,22,M,36
Exp5,P124_Exp5,NA,18,F,16
Exp5,P125_Exp5,NA,28,F,20
Exp5,P126_Exp5,NA,17,M,27
Exp5,P127_Exp5,NA,19,F,14
Exp5,P128_Exp5,NA,18,F,10
Exp5,P130_Exp5,NA,18,F,29
Exp5,P131_Exp5,NA,19,F,15
Exp5,P132_Exp5,NA,20,F,20
Exp5,P133_Exp5,NA,19,F,18
Exp5,P134_Exp5,NA,18,F,23
Exp5,P135_Exp5,NA,18,F,16
Exp5,P136_Exp5,NA,20,F,23
Exp5,P137_Exp5,NA,17,F,26
Exp5,P138_Exp5,NA,19,F,16
Exp5,P139_Exp5,NA,22,M,24
Exp5,P140_Exp5,NA,18,F,36
Exp5,P141_Exp5,NA,18,F,18
Exp5,P142_Exp5,NA,17,F,16
Exp5,P143_Exp5,NA,19,F,19
Exp5,P144_Exp5,NA,17,M,16
Exp5,P145_Exp5,NA,30,F,23
Exp5,P146_Exp5,NA,18,F,10
Exp5,P147_Exp5,NA,18,F,12
Exp5,P148_Exp5,NA,19,M,26
Exp5,P149_Exp5,NA,18,F,27
Exp5,P151_Exp5,NA,19,F,21
Exp5,P152_Exp5,NA,19,F,9
Exp5,P154_Exp5,NA,18,F,13
Exp5,P155_Exp5,NA,22,F,22
Exp5,P156_Exp5,NA,18,F,15
Exp5,P158_Exp5,NA,18,F,22
Exp5,P159_Exp5,NA,19,F,15
Exp5,P160_Exp5,NA,22,F,24
Exp5,P161_Exp5,NA,23,F,35
Exp5,P164_Exp5,NA,21,F,21
Exp5,P165_Exp5,NA,19,F,27
Exp6,P101_Exp6,C1,19,F,21
Exp6,P102_Exp6,C1,22,F,21
Exp6,P103_Exp6,C1,18,M,35
Exp6,P104_Exp6,C1,18,F,20
Exp6,P105_Exp6,C1,19,M,18
Exp6,P106_Exp6,C1,19,F,31
Exp6,P107_Exp6,C1,19,M,31
Exp6,P108_Exp6,C1,18,F,19
Exp6,P109_Exp6,C1,18,F,18
Exp6,P110_Exp6,C1,20,M,23
Exp6,P111_Exp6,C1,17,M,22
Exp6,P112_Exp6,C1,23,M,11
Exp6,P113_Exp6,C1,25,F,26
Exp6,P114_Exp6,C1,19,M,28
Exp6,P115_Exp6,C1,20,F,27
Exp6,P116_Exp6,C1,19,F,24
Exp6,P117_Exp6,C1,19,M,25
Exp6,P118_Exp6,C1,18,F,17
Exp6,P119_Exp6,C1,20,F,17
Exp6,P120_Exp6,C1,23,F,23
Exp6,P121_Exp6,C1,18,F,24
Exp6,P122_Exp6,C1,19,M,25
Exp6,P123_Exp6,C1,19,M,10
Exp6,P124_Exp6,C1,18,M,30
Exp6,P125_Exp6,C1,20,M,8
Exp6,P126_Exp6,C1,21,F,40
Exp6,P127_Exp6,C1,28,F,23
Exp6,P128_Exp6,C1,29,F,18
Exp6,P129_Exp6,C1,22,M,32
Exp6,P130_Exp6,C1,18,F,32
Exp6,P131_Exp6,C1,19,M,26
Exp6,P132_Exp6,C1,18,F,17
Exp6,P133_Exp6,C1,18,M,24
Exp6,P134_Exp6,C1,19,M,30
Exp6,P135_Exp6,C1,35,M,14
Exp6,P136_Exp6,C1,20,M,30
Exp6,P137_Exp6,C1,18,F,29
Exp6,P138_Exp6,C1,22,F,30
Exp6,P139_Exp6,C1,18,F,28
Exp6,P140_Exp6,C1,18,F,18
Exp6,P141_Exp6,C1,19,F,24
Exp6,P142_Exp6,C1,19,F,14
Exp6,P143_Exp6,C1,19,F,20
Exp6,P144_Exp6,C1,19,F,14
Exp6,P145_Exp6,C1,19,M,22
Exp6,P146_Exp6,C1,19,F,18
Exp6,P147_Exp6,C1,21,M,24
Exp6,P148_Exp6,C1,18,F,19
Exp6,P149_Exp6,C1,19,M,33
Exp6,P150_Exp6,C1,18,M,23
Exp6,P151_Exp6,C1,21,F,21
